                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 0.8798,                 0.4542,                0.94975,                0.99448,                0.99089,                0.99466,                0.79184,                 0.8639,                0.35782,                0.95145,              0.0076735,              0.0076735,              0.0076735
                     49,                0.88362,                0.45105,                0.95089,                0.99085,                0.99622,                0.99453,                0.78816,                0.87039,                0.35178,                0.96007,               0.007624,               0.007624,               0.007624
                     50,                0.87467,                0.45502,                0.94896,                0.99437,                0.99448,                0.99427,                0.79074,                0.83793,                0.34412,                 0.9458,              0.0075745,              0.0075745,              0.0075745
                     51,                0.86879,                0.44285,                0.94053,                0.99209,                0.99324,                0.99399,                0.78294,                0.87958,                0.35559,                0.95878,               0.007525,               0.007525,               0.007525
                     52,                0.87132,                0.44724,                0.94682,                 0.9921,                 0.9937,                 0.9946,                0.79291,                0.86065,                0.34958,                0.94979,              0.0074755,              0.0074755,              0.0074755
                     53,                0.86132,                0.44292,                0.94389,                0.99318,                0.98999,                0.99453,                0.78881,                0.85021,                0.35368,                0.94975,               0.007426,               0.007426,               0.007426
                     54,                0.85692,                0.43787,                0.94462,                0.99441,                0.99549,                0.99403,                0.79429,                 0.8429,                0.33473,                0.94139,              0.0073765,              0.0073765,              0.0073765
                     55,                 0.8565,                0.43829,                0.94399,                 0.9894,                 0.9947,                0.99467,                0.79091,                 0.8651,                0.34585,                0.95089,               0.007327,               0.007327,               0.007327
                     56,                0.86065,                0.44051,                 0.9436,                0.99049,                0.99137,                0.99389,                0.78819,                0.85034,                 0.3476,                0.94938,              0.0072775,              0.0072775,              0.0072775
                     57,                0.85347,                0.43681,                0.94084,                0.99567,                0.99244,                0.99453,                0.79835,                0.83657,                0.33719,                0.93754,               0.007228,               0.007228,               0.007228
                     58,                 0.8526,                  0.434,                 0.9403,                0.99356,                 0.9937,                0.99438,                0.79616,                0.84142,                0.33466,                0.93964,              0.0071785,              0.0071785,              0.0071785
                     59,                0.84671,                0.43391,                0.93667,                0.98516,                0.98823,                0.99411,                0.78647,                0.85955,                0.34841,                0.94878,               0.007129,               0.007129,               0.007129
                     60,                0.83905,                0.42519,                0.93465,                0.98994,                0.99289,                0.99407,                0.79256,                0.83695,                0.34004,                0.94152,              0.0070795,              0.0070795,              0.0070795
                     61,                0.85318,                0.43134,                 0.9398,                0.99456,                0.99445,                0.99496,                 0.7954,                0.84383,                0.32924,                 0.9434,                0.00703,                0.00703,                0.00703
                     62,                0.83275,                0.42567,                0.93434,                0.99242,                0.98908,                0.99379,                0.79793,                0.83727,                0.33885,                0.93884,              0.0069805,              0.0069805,              0.0069805
                     63,                0.84023,                 0.4224,                0.93435,                0.99445,                0.99381,                0.99464,                0.79592,                0.83731,                0.33515,                0.94062,               0.006931,               0.006931,               0.006931
                     64,                 0.8361,                0.42194,                0.94105,                0.99538,                0.99202,                0.99427,                0.79171,                0.86493,                0.33699,                0.95121,              0.0068815,              0.0068815,              0.0068815
                     65,                0.82916,                0.42556,                 0.9295,                0.98948,                0.99528,                0.99434,                0.80023,                 0.8276,                0.33113,                0.93809,               0.006832,               0.006832,               0.006832
                     66,                0.82322,                0.42027,                0.93117,                0.99575,                0.99365,                0.99469,                0.79207,                0.85042,                0.33424,                0.94892,              0.0067825,              0.0067825,              0.0067825
                     67,                 0.8336,                0.42289,                0.93288,                 0.9946,                0.99181,                0.99488,                0.80437,                0.81694,                0.31992,                0.93129,               0.006733,               0.006733,               0.006733
                     68,                  0.822,                0.41457,                0.92774,                0.99496,                 0.9909,                0.99444,                0.79808,                0.83549,                0.32448,                0.94047,              0.0066835,              0.0066835,              0.0066835
                     69,                0.82714,                0.41412,                0.92853,                 0.9946,                0.99009,                0.99435,                0.80577,                0.82989,                0.32782,                0.94006,               0.006634,               0.006634,               0.006634
                     70,                0.81846,                0.41194,                  0.926,                0.99296,                 0.9923,                0.99311,                0.80596,                0.83278,                 0.3256,                0.94156,              0.0065845,              0.0065845,              0.0065845
                     71,                0.82284,                0.41747,                0.92905,                 0.9912,                0.99307,                0.99451,                 0.7983,                0.83455,                0.32423,                0.93888,               0.006535,               0.006535,               0.006535
                     72,                0.80784,                0.40327,                0.92205,                0.99189,                0.98992,                0.99425,                0.80497,                0.82237,                0.32125,                0.93823,              0.0064855,              0.0064855,              0.0064855
                     73,                0.81698,                0.41422,                0.93217,                0.99101,                0.98992,                0.99468,                0.80019,                0.83702,                 0.3208,                0.94093,               0.006436,               0.006436,               0.006436
                     74,                0.81681,                0.41186,                0.92267,                 0.9933,                0.99355,                0.99487,                0.79869,                0.83931,                0.31835,                0.93977,              0.0063865,              0.0063865,              0.0063865
                     75,                0.80596,                0.40345,                0.92045,                0.99456,                 0.9937,                0.99471,                0.80094,                0.81182,                0.31497,                0.93463,               0.006337,               0.006337,               0.006337
                     76,                0.81062,                0.40628,                0.92574,                0.99433,                 0.9937,                0.99492,                0.80028,                0.82115,                0.31151,                0.93786,              0.0062875,              0.0062875,              0.0062875
                     77,                  0.807,                0.40428,                0.92314,                0.99693,                0.99219,                0.99486,                0.80694,                0.81317,                0.31147,                0.93281,               0.006238,               0.006238,               0.006238
                     78,                0.80913,                0.40041,                0.92419,                0.99228,                0.99141,                0.99383,                0.80592,                0.81117,                0.31538,                0.92301,              0.0061885,              0.0061885,              0.0061885
                     79,                0.80727,                 0.4026,                0.92199,                0.99066,                0.99118,                0.99401,                0.80398,                0.82753,                0.31633,                0.93621,               0.006139,               0.006139,               0.006139
                     80,                 0.7936,                0.39832,                0.91857,                 0.9909,                0.99841,                0.99475,                0.80634,                0.80887,                 0.3038,                 0.9315,              0.0060895,              0.0060895,              0.0060895
