                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.55834,                0.29279,                 0.8608,                0.99309,                0.99312,                0.99358,                0.88183,                0.57683,                0.22427,                0.86525,               0.006238,               0.006238,               0.006238
                    116,                 0.5528,                0.28932,                0.85769,                0.99369,                0.99364,                 0.9937,                0.88212,                0.57696,                0.22324,                0.86586,               0.006205,               0.006205,               0.006205
                    117,                 0.5452,                 0.2876,                0.85523,                0.99411,                0.99372,                0.99369,                0.88202,                0.57678,                0.22338,                0.86553,               0.006172,               0.006172,               0.006172
                    118,                0.54478,                0.28444,                0.85399,                0.99431,                0.99405,                0.99382,                0.88208,                0.57693,                0.22296,                0.86533,               0.006139,               0.006139,               0.006139
                    119,                0.54672,                0.28294,                0.86123,                0.99435,                0.99415,                0.99379,                0.88369,                0.57685,                0.22273,                0.86505,               0.006106,               0.006106,               0.006106
                    120,                0.54614,                0.28573,                0.85926,                0.99435,                 0.9941,                0.99384,                0.88349,                0.57717,                0.22087,                0.86505,               0.006073,               0.006073,               0.006073
                    121,                 0.5376,                0.28146,                0.85466,                0.99425,                0.99397,                0.99387,                0.88564,                0.57594,                0.22056,                0.86528,                0.00604,                0.00604,                0.00604
                    122,                0.54721,                0.28494,                0.85781,                0.99353,                0.99429,                0.99377,                0.88439,                0.57551,                0.22066,                0.86528,               0.006007,               0.006007,               0.006007
                    123,                0.54268,                0.28199,                0.85606,                0.99446,                0.99429,                0.99384,                0.88581,                0.57472,                0.22071,                0.86497,               0.005974,               0.005974,               0.005974
                    124,                0.53868,                0.28271,                0.85601,                0.99376,                0.99402,                0.99379,                0.88659,                0.57477,                   0.22,                0.86492,               0.005941,               0.005941,               0.005941
                    125,                 0.5481,                0.28308,                0.85804,                0.99418,                0.99332,                0.99372,                0.88526,                0.57454,                0.22165,                 0.8644,               0.005908,               0.005908,               0.005908
                    126,                0.54053,                 0.2832,                0.85822,                0.99493,                0.99323,                0.99373,                 0.8835,                0.57371,                0.22057,                0.86493,               0.005875,               0.005875,               0.005875
                    127,                0.53242,                0.27822,                0.85577,                0.99487,                0.99364,                0.99366,                0.88371,                0.57334,                0.21879,                0.86515,               0.005842,               0.005842,               0.005842
                    128,                0.53585,                0.27898,                 0.8577,                0.99413,                0.99364,                0.99367,                0.88302,                0.57326,                0.21804,                0.86518,               0.005809,               0.005809,               0.005809
                    129,                0.53702,                0.27997,                0.85655,                0.99391,                0.99368,                0.99363,                0.88287,                0.57267,                0.21805,                0.86548,               0.005776,               0.005776,               0.005776
                    130,                0.53827,                0.28384,                0.86048,                0.99449,                0.99318,                0.99368,                0.88237,                0.57255,                0.21798,                0.86602,               0.005743,               0.005743,               0.005743
                    131,                0.52935,                0.27642,                0.85356,                0.99473,                0.99429,                0.99365,                0.88275,                0.57232,                0.21719,                0.86637,                0.00571,                0.00571,                0.00571
                    132,                 0.5332,                0.27877,                0.85348,                0.99453,                0.99429,                0.99364,                0.88262,                0.57209,                0.21682,                0.86612,               0.005677,               0.005677,               0.005677
                    133,                0.53583,                0.27848,                 0.8542,                 0.9949,                0.99394,                0.99363,                0.88268,                0.57172,                0.21671,                0.86576,               0.005644,               0.005644,               0.005644
                    134,                 0.5294,                0.27827,                0.85439,                 0.9949,                0.99321,                0.99362,                0.88335,                0.57118,                0.21604,                0.86573,               0.005611,               0.005611,               0.005611
                    135,                 0.5343,                0.27788,                0.85338,                 0.9949,                 0.9932,                0.99332,                0.88313,                0.57112,                0.21558,                0.86562,               0.005578,               0.005578,               0.005578
                    136,                 0.5286,                 0.2761,                0.85267,                0.99445,                0.99393,                0.99328,                0.88369,                0.57101,                  0.215,                0.86535,               0.005545,               0.005545,               0.005545
                    137,                0.52877,                0.27547,                0.85444,                 0.9946,                0.99318,                0.99343,                0.88456,                0.57081,                0.21521,                 0.8652,               0.005512,               0.005512,               0.005512
                    138,                0.52275,                0.26984,                0.85145,                 0.9938,                0.99326,                0.99348,                 0.8849,                0.57073,                0.21528,                0.86521,               0.005479,               0.005479,               0.005479
                    139,                0.51989,                 0.2734,                0.85025,                0.99272,                0.99364,                0.99349,                0.88456,                0.57056,                0.21544,                 0.8655,               0.005446,               0.005446,               0.005446
                    140,                0.52041,                0.27256,                0.85065,                0.99363,                0.99234,                0.99346,                0.88414,                0.57033,                 0.2162,                0.86567,               0.005413,               0.005413,               0.005413
                    141,                0.51505,                0.26998,                0.84987,                0.99209,                0.99349,                0.99337,                0.88371,                0.57067,                 0.2152,                0.86584,                0.00538,                0.00538,                0.00538
